Answer.3,Input.var_arrays
4,"[{""wl"": [""издание"", ""издания"", ""созданный"", ""средства"", ""выходит"", ""журнал""], ""id"": 3, ""wl_id"": ""0""}]"
5,"[{""wl"": [""небольшие"", ""друг"", ""обороны"", ""другом"", ""составе"", ""британского""], ""id"": 3, ""wl_id"": ""1""}]"
4,"[{""wl"": [""в"", ""на"", ""по"", ""с"", ""и"", ""на""], ""id"": 3, ""wl_id"": ""2""}]"
4,"[{""wl"": [""участие"", ""поэт"", ""культура"", ""писатель"", ""жизнь"", ""искусство""], ""id"": 3, ""wl_id"": ""3""}]"
1,"[{""wl"": [""транспорт"", ""ростовский"", ""изображение"", ""номер"", ""диалект"", ""устройство""], ""id"": 3, ""wl_id"": ""4""}]"
1,"[{""wl"": [""для"", ""боливия"", ""на"", ""год"", ""и"", ""быть""], ""id"": 3, ""wl_id"": ""5""}]"
0,"[{""wl"": [""пенсильвание"", ""греция"", ""флот"", ""морской"", ""греческий"", ""остров""], ""id"": 3, ""wl_id"": ""6""}]"
4,"[{""wl"": [""над"", ""суда"", ""бога"", ""слово"", ""юрист"", ""перевод""], ""id"": 3, ""wl_id"": ""7""}]"
3,"[{""wl"": [""влиянием"", ""нашей"", ""сильным"", ""дизайн"", ""свободное"", ""уровнем""], ""id"": 3, ""wl_id"": ""8""}]"
4,"[{""wl"": [""общий"", ""диалект"", ""говорить"", ""группа"", ""который"", ""народ""], ""id"": 3, ""wl_id"": ""9""}]"
3,"[{""wl"": [""волость"", ""уезд"", ""московский"", ""автомобиль"", ""губерния"", ""единица""], ""id"": 3, ""wl_id"": ""10""}]"
2,"[{""wl"": [""корпус"", ""должности"", ""мартин"", ""основное"", ""исследования"", ""данная""], ""id"": 3, ""wl_id"": ""11""}]"
2,"[{""wl"": [""безопасности"", ""генеральный"", ""моря"", ""международных"", ""дипломат"", ""глава""], ""id"": 3, ""wl_id"": ""12""}]"
0,"[{""wl"": [""с"", ""физический"", ""кристалл"", ""вода"", ""соединение"", ""движение""], ""id"": 3, ""wl_id"": ""13""}]"
0,"[{""wl"": [""над"", ""метров"", ""уровнем"", ""острова"", ""советской"", ""моря""], ""id"": 3, ""wl_id"": ""14""}]"
2,"[{""wl"": [""дом"", ""проект"", ""быть"", ""здание"", ""построить"", ""вода""], ""id"": 3, ""wl_id"": ""15""}]"
3,"[{""wl"": [""взаимодействия"", ""или"", ""существуют"", ""марка"", ""т"", ""п""], ""id"": 3, ""wl_id"": ""16""}]"
4,"[{""wl"": [""ставропольский"", ""италия"", ""хутор"", ""октябрьский"", ""дата"", ""основание""], ""id"": 3, ""wl_id"": ""17""}]"
1,"[{""wl"": [""редактор"", ""двумя"", ""замок"", ""представить"", ""сторона"", ""средневековый""], ""id"": 3, ""wl_id"": ""18""}]"
1,"[{""wl"": [""наш"", ""до"", ""мифология"", ""улица"", ""дочь"", ""эра""], ""id"": 3, ""wl_id"": ""19""}]"
4,"[{""wl"": [""журнал"", ""объединение"", ""экземпляр"", ""речь"", ""с"", ""модель""], ""id"": 3, ""wl_id"": ""20""}]"
3,"[{""wl"": [""направление"", ""течения"", ""проведения"", ""людей"", ""образ"", ""большинство""], ""id"": 3, ""wl_id"": ""21""}]"
1,"[{""wl"": [""хосе"", ""миллион"", ""аргентина"", ""аргентинский"", ""мадрид"", ""режим""], ""id"": 3, ""wl_id"": ""22""}]"
0,"[{""wl"": [""поселение"", ""значение"", ""используется"", ""содержит"", ""роль"", ""помощью""], ""id"": 3, ""wl_id"": ""23""}]"
5,"[{""wl"": [""против"", ""военного"", ""движения"", ""власти"", ""советской"", ""свойства""], ""id"": 3, ""wl_id"": ""24""}]"
3,"[{""wl"": [""материал"", ""из"", ""стадион"", ""праздник"", ""производство"", ""домашний""], ""id"": 3, ""wl_id"": ""25""}]"
3,"[{""wl"": [""депутат"", ""православный"", ""количество"", ""финляндия"", ""красноярский"", ""председатель""], ""id"": 3, ""wl_id"": ""26""}]"
4,"[{""wl"": [""японский"", ""также"", ""республика"", ""китайский"", ""и"", ""язык""], ""id"": 3, ""wl_id"": ""27""}]"
2,"[{""wl"": [""революционер"", ""инженер"", ""шесть"", ""греческий"", ""изобретатель"", ""македония""], ""id"": 3, ""wl_id"": ""28""}]"
1,"[{""wl"": [""исполнять"", ""который"", ""государство"", ""право"", ""дитя"", ""кметстве""], ""id"": 3, ""wl_id"": ""29""}]"
4,"[{""wl"": [""морской"", ""международном"", ""конструкция"", ""гэс"", ""авиационный"", ""конструкции""], ""id"": 3, ""wl_id"": ""30""}]"
0,"[{""wl"": [""бразилия"", ""компаний"", ""место"", ""группу"", ""групп"", ""крупнейших""], ""id"": 3, ""wl_id"": ""31""}]"
0,"[{""wl"": [""собой"", ""ширина"", ""представляет"", ""метра"", ""вокруг"", ""категории""], ""id"": 3, ""wl_id"": ""32""}]"
