Answer.1,Input.var_arrays
1,"[{""wl"": [""музей"", ""поля"", ""историю"", ""музея"", ""истории"", ""музее""], ""id"": 1, ""wl_id"": ""0""}]"
4,"[{""wl"": [""использоваться"", ""планета"", ""земля"", ""космический"", ""@card@"", ""спутник""], ""id"": 1, ""wl_id"": ""1""}]"
3,"[{""wl"": [""немецкий"", ""германия"", ""берлин"", ""корея"", ""карл"", ""фон""], ""id"": 1, ""wl_id"": ""2""}]"
3,"[{""wl"": [""евгений"", ""анна"", ""игорь"", ""род"", ""николай"", ""дмитрий""], ""id"": 1, ""wl_id"": ""3""}]"
0,"[{""wl"": [""год"", ""право"", ""университет"", ""с"", ""в"", ""и""], ""id"": 1, ""wl_id"": ""4""}]"
4,"[{""wl"": [""с"", ""у"", ""в"", ""при"", ""российский"", ""и""], ""id"": 1, ""wl_id"": ""5""}]"
3,"[{""wl"": [""пациент"", ""больной"", ""болезнь"", ""на"", ""лечение"", ""заболевание""], ""id"": 1, ""wl_id"": ""6""}]"
0,"[{""wl"": [""калифорнии"", ""доктора"", ""немецкого"", ""доктор"", ""северная"", ""немецкой""], ""id"": 1, ""wl_id"": ""7""}]"
1,"[{""wl"": [""до"", ""э"", ""у"", ""н"", ""язык"", ""языка""], ""id"": 1, ""wl_id"": ""8""}]"
4,"[{""wl"": [""должность"", ""звание"", ""начальник"", ""высший"", ""общество"", ""помощник""], ""id"": 1, ""wl_id"": ""9""}]"
1,"[{""wl"": [""испанский"", ""шахта"", ""бразилия"", ""америка"", ""мексика"", ""испания""], ""id"": 1, ""wl_id"": ""10""}]"
5,"[{""wl"": [""составлять"", ""город"", ""муниципалитет"", ""население"", ""провинция"", ""англия""], ""id"": 1, ""wl_id"": ""11""}]"
3,"[{""wl"": [""венгерский"", ""греция"", ""венгрия"", ""состав"", ""греческий"", ""община""], ""id"": 1, ""wl_id"": ""12""}]"
3,"[{""wl"": [""население"", ""человек"", ""@card@"", ""еврейский"", ""год"", ""мужчина""], ""id"": 1, ""wl_id"": ""13""}]"
5,"[{""wl"": [""борьбы"", ""категории"", ""борьбе"", ""речь"", ""оценки"", ""токио""], ""id"": 1, ""wl_id"": ""14""}]"
4,"[{""wl"": [""школа"", ""объединение"", ""учитель"", ""китайский"", ""образование"", ""обучение""], ""id"": 1, ""wl_id"": ""15""}]"
2,"[{""wl"": [""роли"", ""улицы"", ""её"", ""роль"", ""сюжет"", ""фильме""], ""id"": 1, ""wl_id"": ""16""}]"
3,"[{""wl"": [""года"", ""район"", ""состав"", ""он"", ""был"", ""района""], ""id"": 1, ""wl_id"": ""17""}]"
0,"[{""wl"": [""документ"", ""франк"", ""альпы"", ""двор"", ""герцог"", ""тверской""], ""id"": 1, ""wl_id"": ""18""}]"
4,"[{""wl"": [""у"", ""численность"", ""края"", ""тыс"", ""грузии"", ""населения""], ""id"": 1, ""wl_id"": ""19""}]"
5,"[{""wl"": [""армении"", ""баку"", ""республика"", ""республики"", ""азербайджана"", ""россии""], ""id"": 1, ""wl_id"": ""20""}]"
5,"[{""wl"": [""рук"", ""тверской"", ""на"", ""руки"", ""псковской"", ""статусом""], ""id"": 1, ""wl_id"": ""21""}]"
0,"[{""wl"": [""оценка"", ""население"", ""мельница"", ""хлеб"", ""фабрика"", ""рабочий""], ""id"": 1, ""wl_id"": ""22""}]"
0,"[{""wl"": [""де"", ""южной"", ""испании"", ""выступал"", ""бразилии"", ""переписи""], ""id"": 1, ""wl_id"": ""23""}]"
4,"[{""wl"": [""что"", ""в"", ""не"", ""и"", ""быть"", ""и""], ""id"": 1, ""wl_id"": ""24""}]"
4,"[{""wl"": [""российской"", ""о"", ""республика"", ""за"", ""по"", ""права""], ""id"": 1, ""wl_id"": ""25""}]"
3,"[{""wl"": [""музыка"", ""музыкальный"", ""роль"", ""год"", ""и"", ""театр""], ""id"": 1, ""wl_id"": ""26""}]"
5,"[{""wl"": [""на"", ""в"", ""и"", ""для"", ""с"", ""станция""], ""id"": 1, ""wl_id"": ""27""}]"
1,"[{""wl"": [""её"", ""фильм"", ""и"", ""она"", ""он"", ""диалект""], ""id"": 1, ""wl_id"": ""28""}]"
1,"[{""wl"": [""железной"", ""наук"", ""станции"", ""линии"", ""станция"", ""дороги""], ""id"": 1, ""wl_id"": ""29""}]"
5,"[{""wl"": [""калифорния"", ""калифорнии"", ""лос-анджелес"", ""сан-франциско"", ""американский"", ""строительство""], ""id"": 1, ""wl_id"": ""30""}]"
3,"[{""wl"": [""политический"", ""совет"", ""партия"", ""денежный"", ""община"", ""выборы""], ""id"": 1, ""wl_id"": ""31""}]"
