var_arrays
"[{""wl"": [""музей"", ""поля"", ""историю"", ""музея"", ""истории"", ""музее""], ""id"": 1, ""wl_id"": ""0""}]"
"[{""wl"": [""использоваться"", ""планета"", ""земля"", ""космический"", ""@card@"", ""спутник""], ""id"": 1, ""wl_id"": ""1""}]"
"[{""wl"": [""немецкий"", ""германия"", ""берлин"", ""корея"", ""карл"", ""фон""], ""id"": 1, ""wl_id"": ""2""}]"
"[{""wl"": [""евгений"", ""анна"", ""игорь"", ""род"", ""николай"", ""дмитрий""], ""id"": 1, ""wl_id"": ""3""}]"
"[{""wl"": [""год"", ""право"", ""университет"", ""с"", ""в"", ""и""], ""id"": 1, ""wl_id"": ""4""}]"
"[{""wl"": [""с"", ""у"", ""в"", ""при"", ""российский"", ""и""], ""id"": 1, ""wl_id"": ""5""}]"
"[{""wl"": [""пациент"", ""больной"", ""болезнь"", ""на"", ""лечение"", ""заболевание""], ""id"": 1, ""wl_id"": ""6""}]"
"[{""wl"": [""калифорнии"", ""доктора"", ""немецкого"", ""доктор"", ""северная"", ""немецкой""], ""id"": 1, ""wl_id"": ""7""}]"
"[{""wl"": [""до"", ""э"", ""у"", ""н"", ""язык"", ""языка""], ""id"": 1, ""wl_id"": ""8""}]"
"[{""wl"": [""должность"", ""звание"", ""начальник"", ""высший"", ""общество"", ""помощник""], ""id"": 1, ""wl_id"": ""9""}]"
"[{""wl"": [""испанский"", ""шахта"", ""бразилия"", ""америка"", ""мексика"", ""испания""], ""id"": 1, ""wl_id"": ""10""}]"
"[{""wl"": [""составлять"", ""город"", ""муниципалитет"", ""население"", ""провинция"", ""англия""], ""id"": 1, ""wl_id"": ""11""}]"
"[{""wl"": [""венгерский"", ""греция"", ""венгрия"", ""состав"", ""греческий"", ""община""], ""id"": 1, ""wl_id"": ""12""}]"
"[{""wl"": [""население"", ""человек"", ""@card@"", ""еврейский"", ""год"", ""мужчина""], ""id"": 1, ""wl_id"": ""13""}]"
"[{""wl"": [""борьбы"", ""категории"", ""борьбе"", ""речь"", ""оценки"", ""токио""], ""id"": 1, ""wl_id"": ""14""}]"
"[{""wl"": [""школа"", ""объединение"", ""учитель"", ""китайский"", ""образование"", ""обучение""], ""id"": 1, ""wl_id"": ""15""}]"
"[{""wl"": [""роли"", ""улицы"", ""её"", ""роль"", ""сюжет"", ""фильме""], ""id"": 1, ""wl_id"": ""16""}]"
"[{""wl"": [""года"", ""район"", ""состав"", ""он"", ""был"", ""района""], ""id"": 1, ""wl_id"": ""17""}]"
"[{""wl"": [""документ"", ""франк"", ""альпы"", ""двор"", ""герцог"", ""тверской""], ""id"": 1, ""wl_id"": ""18""}]"
"[{""wl"": [""у"", ""численность"", ""края"", ""тыс"", ""грузии"", ""населения""], ""id"": 1, ""wl_id"": ""19""}]"
"[{""wl"": [""армении"", ""баку"", ""республика"", ""республики"", ""азербайджана"", ""россии""], ""id"": 1, ""wl_id"": ""20""}]"
"[{""wl"": [""рук"", ""тверской"", ""на"", ""руки"", ""псковской"", ""статусом""], ""id"": 1, ""wl_id"": ""21""}]"
"[{""wl"": [""оценка"", ""население"", ""мельница"", ""хлеб"", ""фабрика"", ""рабочий""], ""id"": 1, ""wl_id"": ""22""}]"
"[{""wl"": [""де"", ""южной"", ""испании"", ""выступал"", ""бразилии"", ""переписи""], ""id"": 1, ""wl_id"": ""23""}]"
"[{""wl"": [""что"", ""в"", ""не"", ""и"", ""быть"", ""и""], ""id"": 1, ""wl_id"": ""24""}]"
"[{""wl"": [""российской"", ""о"", ""республика"", ""за"", ""по"", ""права""], ""id"": 1, ""wl_id"": ""25""}]"
"[{""wl"": [""музыка"", ""музыкальный"", ""роль"", ""год"", ""и"", ""театр""], ""id"": 1, ""wl_id"": ""26""}]"
"[{""wl"": [""на"", ""в"", ""и"", ""для"", ""с"", ""станция""], ""id"": 1, ""wl_id"": ""27""}]"
"[{""wl"": [""её"", ""фильм"", ""и"", ""она"", ""он"", ""диалект""], ""id"": 1, ""wl_id"": ""28""}]"
"[{""wl"": [""железной"", ""наук"", ""станции"", ""линии"", ""станция"", ""дороги""], ""id"": 1, ""wl_id"": ""29""}]"
"[{""wl"": [""калифорния"", ""калифорнии"", ""лос-анджелес"", ""сан-франциско"", ""американский"", ""строительство""], ""id"": 1, ""wl_id"": ""30""}]"
"[{""wl"": [""политический"", ""совет"", ""партия"", ""денежный"", ""община"", ""выборы""], ""id"": 1, ""wl_id"": ""31""}]"
"[{""wl"": [""ссср"", ""союза"", ""работал"", ""году"", ""года"", ""поля""], ""id"": 1, ""wl_id"": ""32""}]"
"[{""wl"": [""россия"", ""советский"", ""москва"", ""ссср"", ""российский"", ""команда""], ""id"": 1, ""wl_id"": ""33""}]"
"[{""wl"": [""сигнал"", ""частота"", ""волна"", ""экзамен"", ""ван"", ""напряжение""], ""id"": 1, ""wl_id"": ""34""}]"
"[{""wl"": [""уезд"", ""городской"", ""назад"", ""быть"", ""округ"", ""год""], ""id"": 1, ""wl_id"": ""35""}]"
"[{""wl"": [""андрей"", ""михаил"", ""искусств"", ""николай"", ""сергей"", ""дмитрий""], ""id"": 1, ""wl_id"": ""36""}]"
"[{""wl"": [""виды"", ""род"", ""видов"", ""рода"", ""растений"", ""канады""], ""id"": 1, ""wl_id"": ""37""}]"
"[{""wl"": [""культуры"", ""список"", ""одежды"", ""наследия"", ""фонда"", ""памятник""], ""id"": 1, ""wl_id"": ""38""}]"
"[{""wl"": [""еврейский"", ""норвегия"", ""польша"", ""после"", ""польский"", ""война""], ""id"": 1, ""wl_id"": ""39""}]"
"[{""wl"": [""или"", ""как"", ""мочь"", ""a"", ""для"", ""и""], ""id"": 1, ""wl_id"": ""40""}]"
