id	wl-id	experiment	topic	intruder-idx	word-0	word-1	word-2	word-3	word-4	word-5
7	0	wiki.ru:dll:10k-100:p/lda:trunc50:big	73	3	три	описание	польша	швеция	польский	сторона
7	1	wiki.ru:dll:10k-100:p/lda:trunc50:big	84	5	переводчик	писатель	писать	поэт	литературный	последний
7	2	wiki.ru:dl:10k-100:p/lda:trunc50:big	45	2	дворец	дворца	всех	стиле	президента	резиденция
7	3	wiki.ru:dll:10k-100:p/lda:trunc50:big	64	1	устройство	университет	использовать	система	использование	позволять
7	4	wiki.ru:dl:10k-100:p/lda:trunc50:big	52	2	святого	церкви	края	русской	церковь	православной
7	5	wiki.ru:dll:10k-100:p/lda:trunc50:big	83	4	рамка	программа	ведущий	вести	политика	задача
7	6	wiki.ru:dll:10k-100:p/lda:trunc50:big	52	3	провинция	муниципалитет	сообщество	связь	испания	автономный
7	7	wiki.ru:dl:10k-100:p/lda:trunc50:big	20	3	обычно	используется	иногда	константин	термин	часто
7	8	wiki.ru:dl:10k-100:p/lda:trunc50:big	65	3	департамент	коммуна	франции	святого	коммуны	регионе
7	9	wiki.ru:dl:10k-100:p/lda:trunc50:big	91	1	основанная	замок	основана	группу	групп	группа
7	10	wiki.ru:dl:10k-100:p/lda:trunc50:big	17	5	мира	игр	чемпион	олимпийских	призёр	берегу
7	11	wiki.ru:dl:10k-100:p/lda:trunc50:big	29	4	главного	назван	открыт	топоним	юг	честь
7	12	wiki.ru:dl:10k-100:p/lda:trunc50:big	78	4	правления	книга	японского	ниже	н	императора
7	13	wiki.ru:dl:10k-100:p/lda:trunc50:big	86	2	село	положение	исполнение	села	географическое	берегу
7	14	wiki.ru:dll:10k-100:p/lda:trunc50:big	13	5	построить	дом	белорусский	здание	рабочий	постоянно
7	15	wiki.ru:dl:10k-100:p/lda:trunc50:big	74	0	испанская	штат	штата	бразилии	муниципалитет	плотность
7	16	wiki.ru:dll:10k-100:p/lda:trunc50:big	48	0	далее	северный	центральный	восточный	западный	южный
7	17	wiki.ru:dll:10k-100:p/lda:trunc50:big	54	0	друг	альфред	пгт	посол	одновременно	узбекистан
7	18	wiki.ru:dl:10k-100:p/lda:trunc50:big	15	0	юге	проекту	построен	фридрих	мост	марк
7	19	wiki.ru:dll:10k-100:p/lda:trunc50:big	3	3	мужской	ряд	женский	зона	исторический	венгерский
7	20	wiki.ru:dll:10k-100:p/lda:trunc50:big	97	4	климат	колумбия	канада	канадский	сообщество	мексика
7	21	wiki.ru:dl:10k-100:p/lda:trunc50:big	28	0	штат	уезд	губернии	уезда	единица	иван
7	22	wiki.ru:dll:10k-100:p/lda:trunc50:big	43	1	бразилия	построить	линия	станция	железнодорожный	штат
7	23	wiki.ru:dll:10k-100:p/lda:trunc50:big	39	1	трёх	форма	мощность	общий	информация	четырёх
7	24	wiki.ru:dl:10k-100:p/lda:trunc50:big	1	4	национального	парк	создан	индии	сложные	национальный
7	25	wiki.ru:dl:10k-100:p/lda:trunc50:big	50	0	белок	железнодорожная	станции	станция	дороги	линии
7	26	wiki.ru:dll:10k-100:p/lda:trunc50:big	67	0	крепость	др	участие	происходить	значительный	принимать
7	27	wiki.ru:dll:10k-100:p/lda:trunc50:big	35	5	связь	месторождение	миллион	возраст	горный	север
7	28	wiki.ru:dll:10k-100:p/lda:trunc50:big	16	4	плотность	регион	коммуна	италия	лес	располагаться
7	29	wiki.ru:dl:10k-100:p/lda:trunc50:big	66	0	ни	крупный	стороны	русского	кратер	происхождение
7	30	wiki.ru:dl:10k-100:p/lda:trunc50:big	24	5	наталья	иосиф	константин	алексей	андрей	другом
7	31	wiki.ru:dll:10k-100:p/lda:trunc50:big	75	2	чемпионат	чемпион	книга	мир	игра	олимпийский
7	32	wiki.ru:dll:10k-100:p/lda:trunc50:big	44	2	сделать	аппарат	перевод	космический	традиционный	спутник
7	33	wiki.ru:dl:10k-100:p/lda:trunc50:big	44	5	юг	география	приблизительно	югу	парижа	начал
7	34	wiki.ru:dl:10k-100:p/lda:trunc50:big	60	2	сложные	группах	ранее	короткие	студент	организацию
7	35	wiki.ru:dll:10k-100:p/lda:trunc50:big	58	4	язык	большинство	группа	диалект	друг	основное
7	36	wiki.ru:dl:10k-100:p/lda:trunc50:big	22	1	поселения	группа	районного	сельского	образования	расстояние
7	37	wiki.ru:dll:10k-100:p/lda:trunc50:big	69	5	основать	деятельность	организация	университет	японский	становиться
7	38	wiki.ru:dl:10k-100:p/lda:trunc50:big	31	5	режиссёр	премьера	главной	состоялась	сюжет	образование
7	39	wiki.ru:dll:10k-100:p/lda:trunc50:big	38	5	норвежский	норвегия	губерния	швеция	фонд	четырёх
7	40	wiki.ru:dl:10k-100:p/lda:trunc50:big	14	2	полузащитник	клубная	оружия	защитник	футболист	карьера
7	41	wiki.ru:dl:10k-100:p/lda:trunc50:big	83	4	рода	род	семейства	см	берегу	описание
7	42	wiki.ru:dl:10k-100:p/lda:trunc50:big	25	5	представляют	интерес	вообще	исполнение	биологических	агломерация
7	43	wiki.ru:dll:10k-100:p/lda:trunc50:big	5	4	населённый	включать	единственный	пункт	православный	населённых
7	44	wiki.ru:dll:10k-100:p/lda:trunc50:big	30	5	рыба	генрих	королевский	политика	внешний	восточный
7	45	wiki.ru:dl:10k-100:p/lda:trunc50:big	43	5	страны	серия	течение	отношения	мария	считается
7	46	wiki.ru:dll:10k-100:p/lda:trunc50:big	88	5	исследование	метод	действие	направление	средство	через
7	47	wiki.ru:dl:10k-100:p/lda:trunc50:big	13	2	системы	компании	переписи	компания	система	создания
7	48	wiki.ru:dll:10k-100:p/lda:trunc50:big	45	2	результат	структура	поселение	важный	процесс	клетка
7	49	wiki.ru:dll:10k-100:p/lda:trunc50:big	93	5	еврейский	многий	автор	текст	книга	писательница
7	50	wiki.ru:dll:10k-100:p/lda:trunc50:big	32	5	адольф	пройти	комплекс	нём	генри	сельский
7	51	wiki.ru:dll:10k-100:p/lda:trunc50:big	57	5	музыкальный	альбом	песня	the	группа	писатель
7	52	wiki.ru:dll:10k-100:p/lda:trunc50:big	59	0	взять	дважды	монета	технический	будущий	физика
7	53	wiki.ru:dl:10k-100:p/lda:trunc50:big	10	5	ядра	синтеза	франческо	согласные	энергии	отношения
7	54	wiki.ru:dl:10k-100:p/lda:trunc50:big	41	1	футбольный	японии	клуба	начал	клуб	основан
7	55	wiki.ru:dll:10k-100:p/lda:trunc50:big	33	5	корабль	служить	флот	общество	морской	немецкий
7	56	wiki.ru:dll:10k-100:p/lda:trunc50:big	82	3	сооружение	водохранилище	сведение	кроме	канал	план
7	57	wiki.ru:dll:10k-100:p/lda:trunc50:big	60	4	главный	назвать	открыть	австрия	клетка	честь
7	58	wiki.ru:dl:10k-100:p/lda:trunc50:big	87	3	марта	жизни	июня	группу	епископ	февраля
7	59	wiki.ru:dll:10k-100:p/lda:trunc50:big	12	4	актриса	сюжет	фильм	театр	хозяйство	актёр
7	60	wiki.ru:dll:10k-100:p/lda:trunc50:big	50	3	советский	военный	великий	спутник	армия	война
7	61	wiki.ru:dl:10k-100:p/lda:trunc50:big	0	2	медицины	эдвард	ибн	фильмов	испанская	задача
7	62	wiki.ru:dl:10k-100:p/lda:trunc50:big	94	3	фон	иоганн	карл	дороги	германия	немецкий
7	63	wiki.ru:dl:10k-100:p/lda:trunc50:big	95	4	поселения	сельского	берегу	деревня	страны	география
7	64	wiki.ru:dl:10k-100:p/lda:trunc50:big	59	3	соединений	экономики	b	автономного	химии	химических
7	65	wiki.ru:dll:10k-100:p/lda:trunc50:big	42	5	день	последний	носить	народный	течение	муниципальный
7	66	wiki.ru:dl:10k-100:p/lda:trunc50:big	77	1	городского	сложные	типа	посёлок	пунктов	населённых
7	67	wiki.ru:dl:10k-100:p/lda:trunc50:big	72	1	тысяч	им	монастырь	три	главный	комплекс
7	68	wiki.ru:dl:10k-100:p/lda:trunc50:big	67	2	длина	берегу	джон	водного	протекает	реестра
7	69	wiki.ru:dll:10k-100:p/lda:trunc50:big	4	2	становиться	взять	украина	даже	достаточно	раз
7	70	wiki.ru:dll:10k-100:p/lda:trunc50:big	61	5	певица	певец	опера	писательница	конкурс	произойти
7	71	wiki.ru:dl:10k-100:p/lda:trunc50:big	27	1	джон	парижа	аул	северо-западе	юго-западе	бывший
7	72	wiki.ru:dl:10k-100:p/lda:trunc50:big	8	4	канала	телевидения	канал	радио	отдельное	ведущий
7	73	wiki.ru:dl:10k-100:p/lda:trunc50:big	93	0	российской	село	данным	переписи	округа	язык
7	74	wiki.ru:dll:10k-100:p/lda:trunc50:big	56	4	правило	обычно	иногда	часто	большинство	форма
7	75	wiki.ru:dl:10k-100:p/lda:trunc50:big	7	1	семей	н	сорт	винограда	занимается	обозначать
7	76	wiki.ru:dll:10k-100:p/lda:trunc50:big	49	1	поселение	располагаться	сельсовет	сельский	край	районный
7	77	wiki.ru:dl:10k-100:p/lda:trunc50:big	6	1	семье	джеймс	французский	род	учился	писатель
7	78	wiki.ru:dl:10k-100:p/lda:trunc50:big	99	2	численность	сведения	эдвард	общие	переписи	всероссийской
7	79	wiki.ru:dll:10k-100:p/lda:trunc50:big	91	3	проживать	перепись	казахстан	обозначение	мужчина	городской
7	80	wiki.ru:dl:10k-100:p/lda:trunc50:big	92	4	португалии	пункт	населённый	городской	относится	муниципалитета
